No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
103,60.459719,0,1.895293,0,37.813563,24.97045,0.799676,2.863285,0,89.469285,0,14.919325,0,60.983045,33.589607,60.648213,49.972299,33.693452,50,27,0,0,0,0,0,0,0,0
104,60.665294,0,1.895354,0,37.9652,24.994536,0.796995,2.850544,0,89.141038,0,14.882452,0,60.990934,33.64783,60.799844,50.014346,33.777691,50,27,0,0,0,0,0,0,0,0
105,61.005732,0,1.893331,0,38.032075,24.952346,0.797099,2.868775,0,88.774793,0,14.806405,0,60.69689,33.734281,60.700099,49.986706,33.722277,50,27,0,0,0,0,0,0,0,0
106,60.825648,0,1.905217,0,37.974379,24.915914,0.795771,2.854445,0,88.749711,0,14.871116,0,60.759788,33.711107,60.713914,49.990591,33.729952,50,27,0,0,0,0,0,0,0,0
107,60.878078,0,1.910835,0,37.782683,25.006941,0.803175,2.8618,0,88.914926,0,14.898242,0,60.827423,33.790531,60.951952,50.05643,33.862196,50,27,0,0,0,0,0,0,0,0
108,60.590926,0,1.906255,0,38.120272,25.16116,0.799956,2.850927,0,88.618881,0,14.775389,0,60.585433,33.775387,60.670234,49.978284,33.705685,50,27,0,0,0,0,0,0,0,0
109,61.244422,0,1.904123,0,38.004468,24.922782,0.802787,2.853778,0,89.465752,0,14.829206,0,60.68659,33.810944,60.841094,50.025617,33.800608,50,27,0,0,0,0,0,0,0,0
110,60.464444,0,1.906031,0,37.995868,24.9285,0.800383,2.834282,0,89.285832,0,14.888225,0,61.191979,33.534738,60.754205,50.001474,33.752336,50,27,0,0,0,0,0,0,0,0
111,60.878301,0,1.90647,0,37.936734,24.995939,0.796816,2.867982,0,89.325729,0,14.927236,0,60.705081,33.765932,60.782342,50.009243,33.767968,50,27,0,0,0,0,0,0,0,0
112,60.679378,0,1.900242,0,37.956563,25.135249,0.800413,2.846369,0,89.011588,0,14.826519,0,60.425961,33.965457,60.919267,50.047043,33.844037,50,27,0,0,0,0,0,0,0,0
113,60.627713,0,1.907965,0,38.162828,25.007953,0.801762,2.849536,0,89.241185,0,14.883245,0,60.650524,33.880504,60.9338,50.050825,33.852111,50,27,0,0,0,0,0,0,0,0
114,61.025786,0,1.901948,0,38.137773,24.987171,0.799416,2.857895,0,89.285995,0,14.8439,0,61.053027,33.657733,60.84869,50.027049,33.804828,50,27,0,0,0,0,0,0,0,0
115,60.648899,0,1.887262,0,38.070972,24.924966,0.800269,2.831628,0,89.398773,0,14.801378,0,60.576607,33.897346,60.890477,50.038464,33.828043,50,27,0,0,0,0,0,0,0,0
116,60.878248,0,1.894929,0,37.963394,25.033827,0.801879,2.858451,0,89.289269,0,14.838822,0,60.989901,33.751096,60.975655,50.061815,33.875364,50,27,0,0,0,0,0,0,0,0
117,60.880451,0,1.893992,0,37.949982,24.980915,0.80101,2.847814,0,89.664419,0,14.882734,0,60.783792,33.800227,60.874073,50.033431,33.818929,50,27,0,0,0,0,0,0,0,0
118,60.588397,0,1.90583,0,38.049716,25.035948,0.798934,2.852447,0,89.209719,0,14.915504,0,60.894607,33.748056,60.869199,50.031917,33.816222,50,27,0,0,0,0,0,0,0,0
119,60.60917,0,1.900391,0,37.946062,24.983826,0.796642,2.847268,0,89.526974,0,14.779209,0,60.895649,33.609549,60.579664,49.951732,33.655369,50,27,0,0,0,0,0,0,0,0
120,60.760435,0,1.894442,0,37.94091,25.165114,0.803349,2.843015,0,89.04548,0,14.913782,0,60.705867,33.830855,60.876449,50.034003,33.820249,50,27,0,0,0,0,0,0,0,0
