No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
1972,60.607959,0.0,1.903612,0.0,37.939064,25.022352,0.804219,2.85172,0.0,89.102281,0.0,14.84267,0.0,60.809918,33.769426,60.801262,50.010541,33.778479,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1973,60.478463,0.0,1.896888,0.0,38.087242,25.138213,0.802367,2.850748,0.0,89.167644,0.0,14.773904,0.0,60.665082,33.70112,60.512885,49.930782,33.618269,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1974,60.71983,0.0,1.910393,0.0,38.075996,25.105298,0.801516,2.854111,0.0,89.207508,0.0,14.942675,0.0,60.614145,33.850252,60.786035,50.006624,33.77002,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1975,60.897555,0.0,1.91187,0.0,37.778718,24.990145,0.799317,2.846456,0.0,88.826955,0.0,14.922417,0.0,60.798367,33.700893,60.644459,49.96746,33.691366,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1976,60.47628,0.0,1.904662,0.0,38.18251,25.024916,0.800028,2.855486,0.0,89.393119,0.0,14.847609,0.0,60.673102,33.869895,60.885303,50.03419,33.825168,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,60.717734,0.0,1.901344,0.0,37.964197,25.107104,0.799928,2.849986,0.0,89.129683,0.0,14.853821,0.0,61.006431,33.767461,60.989298,50.062764,33.882943,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1978,60.960741,0.0,1.898733,0.0,38.034618,25.001491,0.800929,2.852521,0.0,89.161289,0.0,14.856215,0.0,60.646027,33.729728,60.55037,49.941134,33.639095,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1979,60.878801,0.0,1.903851,0.0,38.053982,25.143739,0.794664,2.850494,0.0,89.279363,0.0,14.938883,0.0,60.415842,33.865518,60.612596,49.958626,33.673665,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1980,60.669842,0.0,1.904986,0.0,37.938258,25.051781,0.80336,2.846667,0.0,89.452415,0.0,14.894215,0.0,60.955378,33.60004,60.579843,49.949779,33.655468,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1981,60.964123,0.0,1.903055,0.0,38.148933,25.111316,0.798348,2.859295,0.0,89.249411,0.0,14.865116,0.0,60.830221,33.773231,60.843483,50.022898,33.801935,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1982,60.517936,0.0,1.892599,0.0,37.991488,25.091789,0.802749,2.842402,0.0,89.258086,0.0,14.855443,0.0,61.169682,33.50655,60.619583,49.960899,33.677546,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1983,60.883324,0.0,1.900476,0.0,37.875594,25.055249,0.799084,2.844319,0.0,89.340129,0.0,14.908377,0.0,61.19535,33.504112,60.67449,49.976269,33.70805,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1984,60.664762,0.0,1.910168,0.0,38.054294,24.833922,0.800185,2.84293,0.0,89.168688,0.0,14.821243,0.0,60.665075,33.891556,60.994034,50.064708,33.885574,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1985,60.602447,0.0,1.909813,0.0,38.03221,24.906282,0.79752,2.854644,0.0,89.435262,0.0,14.77944,0.0,60.642963,33.843028,60.848998,50.024299,33.804999,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1986,60.676394,0.0,1.899339,0.0,37.899284,25.089927,0.798059,2.842631,0.0,89.27982,0.0,14.829675,0.0,60.925628,33.7447,60.911375,50.041418,33.839653,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1987,60.56986,0.0,1.901086,0.0,37.976862,25.044992,0.796152,2.841133,0.0,89.138161,0.0,14.863656,0.0,60.7906,33.898209,61.101045,50.093636,33.945025,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1988,60.664262,0.0,1.907543,0.0,37.856094,24.913781,0.795258,2.856861,0.0,89.212577,0.0,14.851282,0.0,60.95153,33.699871,60.824205,50.016653,33.791225,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1989,60.788005,0.0,1.897721,0.0,38.05731,24.963997,0.800176,2.836396,0.0,89.413782,0.0,14.800243,0.0,60.450391,33.980227,60.9224,50.043711,33.845778,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1990,60.516165,0.0,1.900469,0.0,38.130365,25.003472,0.802236,2.868323,0.0,89.007431,0.0,14.772966,0.0,60.862026,33.623136,60.551294,49.940921,33.639608,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1991,60.62281,0.0,1.901154,0.0,38.014807,24.980114,0.800522,2.856794,0.0,89.091734,0.0,14.946963,0.0,60.755406,33.835462,60.911969,50.040904,33.839983,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1992,60.902091,0.0,1.896642,0.0,37.82903,25.085356,0.795339,2.845945,0.0,89.213306,0.0,14.880578,0.0,60.622088,33.791456,60.676042,49.975492,33.708912,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1993,60.775975,0.0,1.90191,0.0,38.062488,24.980651,0.798672,2.854642,0.0,89.261391,0.0,14.828864,0.0,60.634883,33.941744,61.002479,50.065839,33.890266,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1994,60.932178,0.0,1.895512,0.0,38.008886,25.00092,0.800711,2.854231,0.0,89.266817,0.0,14.89103,0.0,60.47032,33.911467,60.751075,49.996025,33.750597,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1995,60.915223,0.0,1.899255,0.0,38.166987,24.98119,0.801591,2.858295,0.0,89.540156,0.0,14.885661,0.0,60.936751,33.666655,60.683559,49.977383,33.713088,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1996,60.847404,0.0,1.899188,0.0,38.004142,25.059724,0.802533,2.853581,0.0,89.520482,0.0,14.922597,0.0,60.680652,33.75476,60.629131,49.962452,33.682851,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1997,60.984689,0.0,1.899685,0.0,38.018138,24.967347,0.804755,2.854411,0.0,89.349381,0.0,14.93434,0.0,60.808225,33.879047,61.022092,50.071252,33.901162,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1998,60.931993,0.0,1.898481,0.0,38.001507,24.969848,0.800158,2.845664,0.0,89.097298,0.0,14.831174,0.0,60.747101,33.904011,61.000261,50.064863,33.889034,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
